numberPickOverall,WS
1,26.100000000000012
2,16.335135135135133
3,21.324324324324323
4,15.875675675675682
5,16.49999999999999
6,12.124324324324323
7,13.51621621621621
8,9.859459459459464
9,14.74864864864865
10,12.586486486486493
11,11.532432432432437
12,9.84594594594594
13,10.748648648648649
14,8.243243243243244
15,6.897297297297295
16,7.4027027027027
17,6.678378378378378
18,9.44324324324324
19,6.683783783783783
20,6.894594594594596
21,7.935135135135131
22,6.683783783783784
23,6.772972972972971
24,7.600000000000004
25,4.759459459459461
26,5.4378378378378365
27,5.572972972972973
28,4.532432432432433
29,4.472972972972973
30,5.259459459459458
31,3.983783783783785
32,2.1513513513513516
33,3.586486486486487
34,2.654054054054054
35,3.491891891891892
36,1.9297297297297291
37,4.105405405405405
38,2.548648648648648
39,2.362162162162162
40,2.659459459459459
41,2.7216216216216216
42,1.381081081081081
43,3.1324324324324335
44,1.3081081081081085
45,3.191891891891891
46,2.82972972972973
47,2.845945945945947
48,1.9
49,1.3270270270270266
50,1.2216216216216216
51,0.6189189189189189
52,0.9108108108108108
53,0.23243243243243242
54,0.4351351351351352
55,0.6567567567567568
56,0.6135135135135135
57,0.2243243243243243
58,0.3297297297297297
59,-0.010810810810810811
60,0.7540540540540541
